,year,biomass,lowerci,upperci,re,num_sets,num_pos_sets,survey_series_id,survey_abbrev,survey_series_desc,species_common_name,species_science_name
104,2017,2294867.96,1299236.67,3354628.85,0.22918,166,27,14,IPHC FISS,International Pacific Halibut Commission Fishery-Independent Setline Survey,quillback rockfish,sebastes maliger
107,2018,2194374.9,1180445.11,3386635.87,0.25752,297,59,14,IPHC FISS,International Pacific Halibut Commission Fishery-Independent Setline Survey,quillback rockfish,sebastes maliger
113,2019,1970764.83,1182271.8,2961453.71,0.23543,167,33,14,IPHC FISS,International Pacific Halibut Commission Fishery-Independent Setline Survey,quillback rockfish,sebastes maliger
45,2006,12812030.68,10522853.45,15169608.47,0.09078,188,109,22,HBLL OUT N,Hard Bottom Longline Outside North ,quillback rockfish,sebastes maliger
56,2008,15831956.66,13081691.24,18665503.49,0.09199,187,102,22,HBLL OUT N,Hard Bottom Longline Outside North ,quillback rockfish,sebastes maliger
68,2010,16067482.48,13108578.91,18898006.52,0.09066,191,111,22,HBLL OUT N,Hard Bottom Longline Outside North ,quillback rockfish,sebastes maliger
81,2012,19210346.9,16214810.12,22301346.16,0.08108,196,126,22,HBLL OUT N,Hard Bottom Longline Outside North ,quillback rockfish,sebastes maliger
91,2015,19577102.8,16450900.82,22852748.33,0.08653,195,118,22,HBLL OUT N,Hard Bottom Longline Outside North ,quillback rockfish,sebastes maliger
103,2017,20069964.29,17038865.79,22991299.52,0.07515,197,121,22,HBLL OUT N,Hard Bottom Longline Outside North ,quillback rockfish,sebastes maliger
112,2019,22133164.97,18741462.4,25771959.81,0.08203,195,128,22,HBLL OUT N,Hard Bottom Longline Outside North ,quillback rockfish,sebastes maliger
51,2007,13262580.35,9257780.51,20028046.63,0.21734,195,81,36,HBLL OUT S,Hard Bottom Longline Outside South,quillback rockfish,sebastes maliger
64,2009,8363236.98,7823928.74,8987402.55,0.03558,182,71,36,HBLL OUT S,Hard Bottom Longline Outside South,quillback rockfish,sebastes maliger
74,2011,10000600.81,7767622.34,12361326.13,0.11742,196,85,36,HBLL OUT S,Hard Bottom Longline Outside South,quillback rockfish,sebastes maliger
87,2014,8696902.89,6662392.87,11002659.95,0.12724,194,93,36,HBLL OUT S,Hard Bottom Longline Outside South,quillback rockfish,sebastes maliger
97,2016,8540060.35,6831134.2,10303571.92,0.10222,197,99,36,HBLL OUT S,Hard Bottom Longline Outside South,quillback rockfish,sebastes maliger
108,2018,14815304.36,12152325.77,17671920.37,0.09589,196,106,36,HBLL OUT S,Hard Bottom Longline Outside South,quillback rockfish,sebastes maliger
36,2004,1273.41,0,3820.24,0.9788,55,1,38,OTHER,WCVI Bottom Trawl 1996 plus 2004 and later 125 to 500m,quillback rockfish,sebastes maliger
58,2008,848.94,0,2546.82,0.98629,109,1,38,OTHER,WCVI Bottom Trawl 1996 plus 2004 and later 125 to 500m,quillback rockfish,sebastes maliger
30,2003,5171525.77,3101807.32,7943443.7,0.23908,74,56,39,HBLL INS N,Hard Bottom Longline Inside North ,quillback rockfish,sebastes maliger
33,2004,3510953.91,1993151.03,5147169.66,0.23034,63,50,39,HBLL INS N,Hard Bottom Longline Inside North ,quillback rockfish,sebastes maliger
52,2007,6848718.63,3887185.28,10281720.88,0.24546,60,44,39,HBLL INS N,Hard Bottom Longline Inside North ,quillback rockfish,sebastes maliger
53,2008,2104733.08,1534584.52,2573668.83,0.11847,57,38,39,HBLL INS N,Hard Bottom Longline Inside North ,quillback rockfish,sebastes maliger
65,2010,3588061.62,2681016.83,4678806.72,0.14199,64,55,39,HBLL INS N,Hard Bottom Longline Inside North ,quillback rockfish,sebastes maliger
77,2012,5052755.58,3871410.11,6348751.84,0.12372,76,63,39,HBLL INS N,Hard Bottom Longline Inside North ,quillback rockfish,sebastes maliger
86,2014,4392682.63,3496998.49,5325359.74,0.10149,61,53,39,HBLL INS N,Hard Bottom Longline Inside North ,quillback rockfish,sebastes maliger
98,2016,3948683.05,3042032.55,5021746.4,0.12523,71,62,39,HBLL INS N,Hard Bottom Longline Inside North ,quillback rockfish,sebastes maliger
111,2019,750864.16,265748.71,1372216.14,0.39448,80,62,39,HBLL INS N,Hard Bottom Longline Inside North ,quillback rockfish,sebastes maliger
42,2005,1464861.65,575574.43,2607985.82,0.35951,95,47,40,HBLL INS S,Hard Bottom Longline Inside South ,quillback rockfish,sebastes maliger
62,2009,1090158.36,87516.31,2686644.17,0.62949,36,13,40,HBLL INS S,Hard Bottom Longline Inside South ,quillback rockfish,sebastes maliger
76,2011,2597075.3,1794643.48,3551537.43,0.1706,69,46,40,HBLL INS S,Hard Bottom Longline Inside South ,quillback rockfish,sebastes maliger
84,2013,1816442.17,1056610.17,2782495.58,0.24001,66,37,40,HBLL INS S,Hard Bottom Longline Inside South ,quillback rockfish,sebastes maliger
96,2015,1571378.86,1001982.2,2244888.18,0.19678,60,35,40,HBLL INS S,Hard Bottom Longline Inside South ,quillback rockfish,sebastes maliger
106,2018,932213.38,572370.84,1343567.2,0.21301,55,26,40,HBLL INS S,Hard Bottom Longline Inside South ,quillback rockfish,sebastes maliger
29,2003,32238.48,5168,131660.26,0.72809,153,4,44,OTHER,QCS Synoptic Bottom Trawl footprint reduced to match industry proposal (30/11/2011),quillback rockfish,sebastes maliger
34,2004,158527.03,26824.14,616469.25,0.69072,156,7,44,OTHER,QCS Synoptic Bottom Trawl footprint reduced to match industry proposal (30/11/2011),quillback rockfish,sebastes maliger
41,2005,58134.8,3040.57,307620,0.84774,140,6,44,OTHER,QCS Synoptic Bottom Trawl footprint reduced to match industry proposal (30/11/2011),quillback rockfish,sebastes maliger
49,2007,27132.87,8823.37,65995.93,0.48187,153,6,44,OTHER,QCS Synoptic Bottom Trawl footprint reduced to match industry proposal (30/11/2011),quillback rockfish,sebastes maliger
61,2009,12957,3181.09,41475.16,0.57605,158,4,44,OTHER,QCS Synoptic Bottom Trawl footprint reduced to match industry proposal (30/11/2011),quillback rockfish,sebastes maliger
72,2011,89110.91,22179.24,231760.56,0.53813,173,10,44,OTHER,QCS Synoptic Bottom Trawl footprint reduced to match industry proposal (30/11/2011),quillback rockfish,sebastes maliger
78,2012,6803.14,0,15849.18,0.58737,51,4,45,SYN SOG,Strait of Georgia Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
93,2015,60107.18,13685.68,123534.68,0.44344,42,9,45,SYN SOG,Strait of Georgia Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
8,1986,55.56,26.02,91.55,0.2992,77,16,76,OTHER,Strait of Georgia Dogfish Longline,quillback rockfish,sebastes maliger
16,1989,71.98,40.81,106.81,0.23519,69,17,76,OTHER,Strait of Georgia Dogfish Longline,quillback rockfish,sebastes maliger
39,2005,294.21,261.92,339.02,0.06771,40,7,76,OTHER,Strait of Georgia Dogfish Longline,quillback rockfish,sebastes maliger
57,2008,66.59,29.9,103.29,0.28264,45,10,76,OTHER,Strait of Georgia Dogfish Longline,quillback rockfish,sebastes maliger
69,2011,200.11,42.57,378.87,0.44238,35,6,76,OTHER,Strait of Georgia Dogfish Longline,quillback rockfish,sebastes maliger
90,2014,250.24,138.56,381.8,0.24977,46,9,76,OTHER,Strait of Georgia Dogfish Longline,quillback rockfish,sebastes maliger
114,2019,151.97,64.29,252.08,0.321,39,7,76,OTHER,Strait of Georgia Dogfish Longline,quillback rockfish,sebastes maliger
9,1986,10.24,8.29,12.41,0.1034,79,65,82,OTHER,Jig Survey - 4B Stat Area 12,quillback rockfish,sebastes maliger
10,1987,4.39,3.53,5.23,0.09725,79,67,82,OTHER,Jig Survey - 4B Stat Area 12,quillback rockfish,sebastes maliger
14,1988,7.52,6.23,8.99,0.09669,77,73,82,OTHER,Jig Survey - 4B Stat Area 12,quillback rockfish,sebastes maliger
18,1992,7.42,5.96,9.17,0.11165,92,86,82,OTHER,Jig Survey - 4B Stat Area 12,quillback rockfish,sebastes maliger
7,1986,9.31,7.52,11.06,0.0978,63,56,83,OTHER,Jig Survey - 4B Stat Area 13,quillback rockfish,sebastes maliger
12,1987,2.76,2.05,3.64,0.14627,66,57,83,OTHER,Jig Survey - 4B Stat Area 13,quillback rockfish,sebastes maliger
13,1988,6.1,4.77,7.63,0.12202,83,79,83,OTHER,Jig Survey - 4B Stat Area 13,quillback rockfish,sebastes maliger
3,1984,0.18,0.04,0.39,0.45686,136,6,84,OTHER,Jig Survey - 4B Stat Area 15,quillback rockfish,sebastes maliger
4,1985,1,0.59,1.46,0.22407,53,20,84,OTHER,Jig Survey - 4B Stat Area 15,quillback rockfish,sebastes maliger
2,1984,0.1,0.03,0.19,0.43222,141,7,85,OTHER,Jig Survey - 4B Stat Area 16,quillback rockfish,sebastes maliger
5,1985,1.96,0.79,3.84,0.41939,69,28,85,OTHER,Jig Survey - 4B Stat Area 16,quillback rockfish,sebastes maliger
6,1986,3.93,2.88,5.08,0.14055,77,51,85,OTHER,Jig Survey - 4B Stat Area 16,quillback rockfish,sebastes maliger
